Apron~images\attire\fullBody\apron.png~apron
Bathrobe~images\attire\fullBody\bathrobe.png~bathrobe
Fashion~images\attire\fullBody\fashion.png~fashion
Jumpsuit~images\attire\fullBody\jumpsuit.png~jumpsuit
Lolita Fashion~images\attire\fullBody\lolita_fashion.png~lolita fashion
Miko~images\attire\fullBody\miko.png~miko
Nontraditional Miko~images\attire\fullBody\nontraditional_miko.png~nontraditional miko
Overalls~images\attire\fullBody\overalls.png~overalls
Pajamas~images\attire\fullBody\pajamas.png~pajamas
Robe~images\attire\fullBody\robe.png~robe
Romper~images\attire\fullBody\romper.png~romper
Skirt Suit~images\attire\fullBody\skirt_suit.png~skirt suit
Street Fashion~images\attire\fullBody\street_fashion.png~street fashion
Suit~images\attire\fullBody\suit.png~suit
Track Suit~images\attire\fullBody\track_suit.png~track suit
Tunic~images\attire\fullBody\tunic.png~tunic
Tuxedo~images\attire\fullBody\tuxedo.png~tuxedo
