Aqua Eyes~images/colors/eyes/resized/aqua.jpg~aqua eyes
Black Eyes~images/colors/eyes/resized/black.jpg~black eyes
Blue Eyes~images/colors/eyes/resized/blue.jpg~blue eyes
Brown Eyes~images/colors/eyes/resized/brown.jpg~brown eyes
Green Eyes~images/colors/eyes/resized/green.jpg~green eyes
Grey Eyes~images/colors/eyes/resized/grey.jpg~grey eyes
Orange Eyes~images/colors/eyes/resized/orange.jpg~orange eyes
Pink Eyes~images/colors/eyes/resized/pink.jpg~pink eyes
Purple Eyes~images/colors/eyes/resized/purple.jpg~purple eyes
Red Eyes~images/colors/eyes/resized/red.jpg~red eyes
Yellow Eyes~images/colors/eyes/resized/yellow.jpg~yellow eyes
